allowanceRadio,currentCreditCode,listingId,maxRate,minRate,origin,preDebtDealId,priceForSale,priceForSaleRate,testDate,defaultPriceforsale,rateMaxMultiples,rateMinMultiples
0,C,125979520,40,20,B,0,10.24,20,10/23/2018,,,
0,C,125983680,40,20,B,0,42.68,20,10/23/2018,,,
0,E,125995511,40,20,B,0,42.68,20,10/23/2018,,,
0,C,126003947,40,20,B,0,42.68,20,10/23/2018,,,
0,C,126004116,40,20,B,0,42.68,20,10/23/2018,,,
0,C,126004829,40,20,B,0,42.68,20,10/23/2018,,,
0,C,126004666,40,20,B,0,42.68,20,10/23/2018,,,
0,E,126004744,40,20,B,0,42.68,20,10/23/2018,,,
0,D,126005308,40,20,B,0,42.68,20,10/23/2018,,,
0,C,126007228,40,20,B,0,42.68,20,10/23/2018,,,
0,C,126007630,40,20,B,0,42.68,20,10/23/2018,,,
0,C,126008339,40,20,B,0,42.68,20,10/23/2018,,,
0,C,126009029,40,20,B,0,42.68,20,10/23/2018,,,
0,C,126010086,40,20,B,0,42.68,20,10/23/2018,,,
0,C,126010412,40,20,B,0,42.68,20,10/23/2018,,,
0,E,126012704,40,20,B,0,42.68,20,10/23/2018,,,
0,C,126016036,40,20,B,0,42.69,20,10/23/2018,,,
0,C,126016934,40,20,B,0,42.68,20,10/23/2018,,,
0,C,126017932,40,20,B,0,42.68,20,10/23/2018,,,
0,C,126019718,40,20,B,0,42.68,20,10/23/2018,,,
0,C,126024449,40,20,B,0,42.68,20,10/23/2018,,,
0,E,126026597,40,20,B,0,42.68,20,10/23/2018,,,
0,C,126026349,40,20,B,0,42.68,20,10/23/2018,,,
0,C,126030068,40,20,B,0,42.68,20,10/23/2018,,,
0,D,126034393,40,20,B,0,42.68,20,10/23/2018,,,
0,C,126035461,40,20,B,0,42.68,20,10/23/2018,,,
0,C,126038768,40,20,B,0,42.68,20,10/23/2018,,,
0,C,126042159,40,20,B,0,42.68,20,10/23/2018,,,
0,C,126042356,40,20,B,0,42.68,20,10/23/2018,,,
0,C,126064996,40,20,B,0,42.68,20,10/23/2018,,,
0,E,126072113,40,20,B,0,42.66,20,10/23/2018,,,
0,C,126084379,40,20,B,0,42.66,20,10/23/2018,,,
0,D,126084346,40,20,B,0,42.66,20,10/23/2018,,,
0,C,126084471,40,20,B,0,42.66,20,10/23/2018,,,
0,C,126084590,40,20,B,0,42.66,20,10/23/2018,,,
0,C,126084708,40,20,B,0,42.66,20,10/23/2018,,,
0,C,126085087,40,20,B,0,42.66,20,10/23/2018,,,
0,C,126086039,40,20,B,0,42.66,20,10/23/2018,,,
0,C,126086217,40,20,B,0,42.66,20,10/23/2018,,,
0,F,126086200,40,20,B,0,42.66,20,10/23/2018,,,
0,C,126086833,40,20,B,0,42.66,20,10/23/2018,,,
0,C,126086975,40,20,B,0,42.66,20,10/23/2018,,,
0,C,126087351,40,20,B,0,42.66,20,10/23/2018,,,
0,C,126087249,40,20,B,0,42.66,20,10/23/2018,,,
0,C,126087954,40,20,B,0,42.66,20,10/23/2018,,,
0,C,126089558,40,20,B,0,42.66,20,10/23/2018,,,
0,C,126090318,40,20,B,0,42.66,20,10/23/2018,,,
0,C,126089939,40,20,B,0,42.66,20,10/23/2018,,,
0,C,126092449,40,20,B,0,42.66,20,10/23/2018,,,
0,C,126156251,40,20,B,0,42.66,20,10/23/2018,,,
0,C,126181116,40,20,B,0,42.63,20,10/23/2018,,,
0,E,126072113,40,20,B,0,42.68,20,10/24/2018,,,
0,C,126084379,40,20,B,0,42.68,20,10/24/2018,,,
0,D,126084346,40,20,B,0,42.68,20,10/24/2018,,,
0,C,126084471,40,20,B,0,42.68,20,10/24/2018,,,
0,B,126084590,40,20,B,0,42.68,20,10/24/2018,,,
0,C,126084708,40,20,B,0,42.68,20,10/24/2018,,,
0,C,126085087,40,20,B,0,42.68,20,10/24/2018,,,
0,C,126086039,40,20,B,0,42.68,20,10/24/2018,,,
0,C,126086217,40,20,B,0,42.68,20,10/24/2018,,,
0,F,126086200,40,20,B,0,42.68,20,10/24/2018,,,
0,C,126086833,40,20,B,0,42.68,20,10/24/2018,,,
0,D,126086975,40,20,B,0,42.68,20,10/24/2018,,,
