allowanceRadio,currentCreditCode,listingId,maxRate,minRate,origin,preDebtDealId,priceforsale,priceforsaleRate,testDate
0,E,125824565,40,20,B,0,42.75,20,10/24/2018
0,B,122368580,40,20,B,0,17.23,20,10/24/2018
0,B,122386159,40,20,B,0,17.23,20,10/24/2018
0,C,125777685,40,20,B,0,42.75,20,10/24/2018
0,C,125780645,40,20,B,0,42.75,20,10/24/2018
0,C,125774066,40,20,B,0,42.75,20,10/24/2018
0,C,125706400,40,20,B,0,11.97,20,10/24/2018
0,C,125575014,40,20,B,0,42.79,20,10/24/2018
0,C,121727301,40,20,B,0,17.28,20,10/24/2018
0,C,128608088,40,20,B,0,51.01,20,10/24/2018
0,B,121514001,40,20,B,0,17.3,20,10/24/2018
0,B,121372383,40,20,B,0,17.31,20,10/24/2018
0,C,121365243,40,20,B,0,17.31,20,10/24/2018
0,B,124297654,40,20,B,0,17.09,20,10/24/2018
0,E,127546258,40,20,B,0,51.28,20,10/24/2018
0,C,127409938,40,20,B,0,51.32,20,10/24/2018
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
