,Unnamed: 0,introduction,nickName,popularity,sumBidAmount,sumSelfBidAmount,userId,yieldRate,sumBidAmountDetail,registerDate
0,0,拍拍贷9年投资经验，累积年化收益率20%以上,日久,2505,54587441.0,1707074.0,53648,18.3,10955729,2008-12-07
1,1,多年策略舵手，大数据好策略收益稳定！ 每月策略优化，不断提高收益降低逾期！,Mr.蒋 ,2388,34912729.0,78949.0,6110694,12.920000000000002,3819565,2015-05-03
2,2,20余年IT从业经历，2011年投资网贷。通过软件长期跟踪分析主流平台，擅长数据深度挖掘，风格严谨。,山海之间,2311,40139877.0,270120.0,29423072,13.99,12675423,2016-08-02
3,3,投资拍拍贷3年，积累原始借款数据千万，黑名单数据数十万。生成策略年化保持在较高收益区间！,财神驾到,2289,60361512.0,5650.0,9773933,19.03,5016648,2015-10-16
4,4,2016年进拍拍贷，入场就开始收集分析数据，很快使用自定义策略投信用标，取得不错的收益。作为策略市场第一批策略师，策略积累了有效的历史数据。,天意,2202,70387851.0,431426.0,26983373,18.310000000000002,4012735,2016-06-28
5,5,投资拍拍贷已经快3年了，投资本金200多万，相信我的选标策略能够提高你的收益。,耿晓,2129,49203979.0,1057309.0,5533456,12.790000000000001,14745336,2015-03-19
6,6,资产增值除了需要耐心与时间，还需要些许智慧与经验。而我，负责提供给您专业级的智慧与经验。,崔璨,1981,47098866.0,945280.0,28864256,16.12,8619186,2016-07-25
7,7,投资拍拍贷近三年，早期投赔一年多，后转信，多维度数据分析获得的投标策略安全可靠抗风险能力强，目前每月当月收益率均在17-20%之间，累计收益率将稳步提升，策略回溯逾期率情况详见策略师说,重剑无锋,1933,20433283.0,126783.0,15397976,14.23,3582367,2015-11-03
8,8,2015年5月注册拍拍贷，投资拍拍三年来，散标策略投资经验丰富，目前除去坏账累计年化收益良好。,大海,1887,71375175.0,1213548.0,6400652,17.130000000000003,11377906,2015-05-21
9,9,本人在拍拍贷投资获利已超百万，深度熟悉拍拍贷各种标的数据，能够在拍拍贷规则范围内，为大家选出最佳策略,兔司机,1740,27781539.0,38751.0,25920507,18.35,15022352,2016-06-11
