amount,avatarUrl,bidAmountAverage,bidDurationAverage,feeRate,funding,introduction,isOpen,nickName,overdueRate30,overdueRate30AverageStr,overdueRate60,overdueRate60AverageStr,overdueRate90,overdueRate90AverageStr,plannerName,rate,runDays,strategyId,strategyTitle,strategyType
200,https://jc01.info.user.ppdai.com/ff2d80b70ca94c33b0c491beff8efe3f.jpg,32561684.4667,7,0.0,199,六月9%起投，最大限度保证资金不站岗。,0,海边的云,0,--,0,--,0,--,,0.1035,7,5596,豪叔赔标快投一号,0
200,https://jc01.info.user.ppdai.com/600bc6ac29ee45e8a603924c6535ce23.jpg,31981827.0,7,0.0,199,赔标风险低，选取最高收益的标的,0,独狼,0,--,0,--,0,--,,0.1036,37,4218,赔标高收益,0
200,https://jc01.info.user.ppdai.com/14d28fd4818a467fa3a6cd51b17db59e.jpg,13484733.2333,9,0.0,199,第一次借款，来提高提前还款的概率，从而整体拉高收益率。,0,童话,0,--,0,--,0,--,,0.1039,139,2238,第一次借款,0
200,https://jc01.info.user.ppdai.com/dc2e1298a3bd4003adc98062999d7f32.jpg,8006920.9,6,0.0,199,学历认证，负债率低，小额借款，良好信誉,0,周秦汉唐,0,--,0,--,0,--,,0.1031,63,3632,学历低负债高信誉,0
200,https://jc01.info.user.ppdai.com/eea49472f95645d1bebb7953f514d733.JPG,6211981.5,6,0.0,199,短期快回收，青春女性逾期少、易催收。,0,我心飞翔,0,--,0,--,0,--,,0.1034,98,3184,六月青春女,0
200,https://jc01.info.user.ppdai.com/d496785496ed45089108c5683f63e482.jpg,3657892.0,6,0.0,199,控制短期借款金额、总负债金额，享受提前还款一个月利息收益，提高综合收益,1,hansgang,0,--,0,--,0,--,,0.1032,34,4503,短期提前还赔标策略,0
200,https://jc01.info.user.ppdai.com/dc4cf959aeec4573ae5be071485a2b8f.JPG,31981827.0,7,0.0,198,好赔标,0,hzzkf,0,--,0,--,0,--,,0.1036,57,3713,好赔标,0
200,https://jc01.info.user.ppdai.com/7c250a53f1064b5884b90c57c0017159.jpg,31981827.0,7,0.0,198,自用赔标,0,amelia336,0,--,0,--,0,--,,0.1036,56,3726,自用赔标,0
200,https://jc01.info.user.ppdai.com/c5898109af3f4accac22cab2a5fb224a.jpg,31981827.0,7,0.0,198,主投市场主流陪标,0,策略大师,0,--,0,--,0,--,,0.1036,41,4047,陪标主流策略,0
200,https://jc01.info.user.ppdai.com/132170f3c6a5407c809344cec9a5c8f2.jpg,22549713.4,6,0.0,198,选投6个月期限的AA标,0,无明,0,--,0,--,0,--,,0.1032,30,4492,六月飞雪,0
