amount,avatarUrl,bidAmountAverage,bidDurationAverage,feeRate,funding,introduction_x,isOpen,nickName,overdueRate30,overdueRate30AverageStr,overdueRate60,overdueRate60AverageStr,overdueRate90,overdueRate90AverageStr,plannerName,rate,runDays,strategyId,strategyTitle,strategyType,Unnamed: 0,Unnamed: 0.1,introduction_y,popularity,sumBidAmount,sumSelfBidAmount,userId,yieldRate,sumBidAmountDetail,registerDate
200,https://jc01.info.user.ppdai.com/ff2d80b70ca94c33b0c491beff8efe3f.jpg,32561684.4667,7,0.0,199,六月9%起投，最大限度保证资金不站岗。,0,海边的云,0,--,0,--,0,--,,0.1035,7,5596,豪叔赔标快投一号,0,84,84,2015年开始投资拍拍贷，虽历经风雨无数，却始终不离不弃，秉持价值投资，理性投资，长期投资的理念，坚信拍拍贷是实现财务自由的捷径。,549,3359563.0,23422.0,8902950,13.78,8287554,2015-09-18
200,https://jc01.info.user.ppdai.com/600bc6ac29ee45e8a603924c6535ce23.jpg,31981827.0,7,0.0,199,赔标风险低，选取最高收益的标的,0,独狼,0,--,0,--,0,--,,0.1036,37,4218,赔标高收益,0,130,130,拍拍贷投资3年，在投资金200多万，专攻散标,285,2795804.0,0.0,41297949,17.19,4501709,2017-01-04
200,https://jc01.info.user.ppdai.com/14d28fd4818a467fa3a6cd51b17db59e.jpg,13484733.2333,9,0.0,199,第一次借款，来提高提前还款的概率，从而整体拉高收益率。,0,童话,0,--,0,--,0,--,,0.1039,139,2238,第一次借款,0,89,89,多年拍拍贷投资经验，分析各种维度优劣，高收益低逾期，可以获取较高额投资回报。,498,9358216.0,464924.0,29394783,14.499999999999998,2708786,2016-08-01
200,https://jc01.info.user.ppdai.com/dc2e1298a3bd4003adc98062999d7f32.jpg,8006920.9,6,0.0,199,学历认证，负债率低，小额借款，良好信誉,0,周秦汉唐,0,--,0,--,0,--,,0.1031,63,3632,学历低负债高信誉,0,138,138,投资拍拍贷多年，通过自身实践及大数据的研究，熟知各投标维度对逾期的影响！策略稳健，保持良好收益率！,257,1766337.0,18546.0,31045588,11.87,6190683,2016-08-24
200,https://jc01.info.user.ppdai.com/eea49472f95645d1bebb7953f514d733.JPG,6211981.5,6,0.0,199,短期快回收，青春女性逾期少、易催收。,0,我心飞翔,0,--,0,--,0,--,,0.1034,98,3184,六月青春女,0,93,93,名校工科硕士，从事IT行业，软件开发十余年，5年p2p投资经验，擅长数据分析。投资风格稳健，充分利用优质第三方策略，以及在拍拍贷积累的投资经验，形成自己的投资风格。拍拍贷投资口号：一切靠数据说话！,481,5652206.0,57021.0,38037452,17.86,6693575,2016-11-24
200,https://jc01.info.user.ppdai.com/d496785496ed45089108c5683f63e482.jpg,3657892.0,6,0.0,199,控制短期借款金额、总负债金额，享受提前还款一个月利息收益，提高综合收益,1,hansgang,0,--,0,--,0,--,,0.1032,34,4503,短期提前还赔标策略,0,142,142,投资拍拍贷已有3个年头，本着稳健投资理念，投资基本把握一半赔一半信，至今信标投资近千万,241,1242392.0,247132.0,17889024,14.87,10994959,2016-01-03
200,https://jc01.info.user.ppdai.com/dc4cf959aeec4573ae5be071485a2b8f.JPG,31981827.0,7,0.0,198,好赔标,0,hzzkf,0,--,0,--,0,--,,0.1036,57,3713,好赔标,0,69,69,丰富的信用标投标经历，为你带来超高收益。,687,5863613.0,394952.0,17186850,16.43,10994994,2015-12-17
200,https://jc01.info.user.ppdai.com/7c250a53f1064b5884b90c57c0017159.jpg,31981827.0,7,0.0,198,自用赔标,0,amelia336,0,--,0,--,0,--,,0.1036,56,3726,自用赔标,0,87,87,长期信用标投标经历，注重高质量标的挖掘。,509,8137385.0,612227.0,38785279,15.9,11527044,2016-12-04
200,https://jc01.info.user.ppdai.com/c5898109af3f4accac22cab2a5fb224a.jpg,31981827.0,7,0.0,198,主投市场主流陪标,0,策略大师,0,--,0,--,0,--,,0.1036,41,4047,陪标主流策略,0,76,76,5年拍拍贷投资经验，已还清和收款中标数接近5倍，策略稳定性已经时间考验，收益率多年稳定在17%到20%。,583,3764076.0,152854.0,1131549,18.44,4226697,2013-08-01
200,https://jc01.info.user.ppdai.com/132170f3c6a5407c809344cec9a5c8f2.jpg,22549713.4,6,0.0,198,选投6个月期限的AA标,0,无明,0,--,0,--,0,--,,0.1032,30,4492,六月飞雪,0,124,124,一入拍拍深似海 策略选标不茫然,301,1791214.0,25894.0,20496357,15.77,27247086,2016-03-09
200,https://jc01.info.user.ppdai.com/7dc0577b24b54f8d9e98007903d27c72.jpg,9432000.2667,12,0.0,198,只投9月以上高息赔标,0,拍拍乐,0,--,0,--,0,--,,0.1053,29,4617,辽宁号之9月高息赔标,0,94,94,从赔标起步，到用自定义策略投资信用标，一直坚持稳健投资风格。希望我的策略也能助你稳健收益。策略更新说明和邀请码，请看“策略师说“。,480,6212469.0,76653.0,35741912,14.88,4715225,2016-10-27
200,https://jc01.info.user.ppdai.com/2ecb465c30c94049ac1cd802c43ae677.jpg,7577185.6,6,0.0,198,6月以内的短期非首贷0逾赔标，用于加仓和消券比较合适。,0,老师付,0,--,0,--,0,--,,0.1034,58,3689,6月0逾,0,56,56,2013年就注册了拍拍，从手动投标开始，各种投标方法都经历过。形成了自己稳健的选标策略，总投资额超千万，已收利息超百万。,869,10524360.0,753015.0,1269704,15.7,19252746,2013-11-02
