Amount,BidAmount,ListingId,Months,Rate,Title
8500.0,50.0,119036625,3,8.0,手机app用户的第1次闪电借款
5000.0,50.0,119058533,3,9.0,pdu3****85877第3次借款
4375.0,50.0,119162322,3,9.0,pdu3****37763第4次借款
5000.0,50.0,119259950,3,9.0,pdu2****65688第8次借款
4000.0,50.0,119264736,3,9.0,手机app用户的第7次闪电借款
4392.0,50.0,119274488,3,9.0,pdu5****07106第10次借款
2142.0,50.0,119372420,3,9.0,pdu3****40414第13次借款
3732.0,50.0,119406632,3,9.0,手机app用户的第6次闪电借款
2000.0,50.0,119497276,3,9.0,手机app用户的第10次闪电借款
2000.0,50.0,119497753,3,9.0,手机app用户的借款
2062.0,50.0,119502270,3,9.0,手机app用户的借款
4000.0,50.0,119528910,3,9.0,pdu6****76372第11次借款
2000.0,50.0,119533950,3,9.0,pdu8****71705第2次借款
7275.0,50.0,119541022,3,9.0,手机app用户的第11次闪电借款
4000.0,50.0,119558419,3,9.0,手机app用户的第6次闪电借款
4420.0,50.0,119632833,3,9.0,手机app用户的借款
2000.0,50.0,119638396,3,9.0,pdu8****04767第8次借款
2109.0,50.0,119659576,3,9.0,手机app用户的第6次闪电借款
4026.0,50.0,119661729,3,9.0,pdu4****10121第9次借款
2000.0,50.0,119667207,3,9.0,pdu4****13687第4次借款
2000.0,50.0,119672786,3,9.0,手机app用户的借款
2000.0,50.0,119686250,3,9.0,pdu8****20808第3次借款
2000.0,50.0,119692944,3,9.0,pdu2****02020第3次借款
2046.0,50.0,119693398,3,9.0,pdu4****02182第6次借款
2000.0,50.0,119703031,3,9.0,pdu6****20041第5次借款
4000.0,50.0,119705597,3,9.0,pdu6****85022第4次借款
2000.0,50.0,119795743,3,9.0,pdu2****06586第2次借款
4000.0,50.0,119803571,3,9.0,手机app用户的第4次闪电借款
2000.0,50.0,119822365,3,9.0,手机app用户的借款
2000.0,50.0,119855007,3,9.0,pdu8****25151第2次借款
4510.0,50.0,119856241,3,9.0,手机app用户的借款
5000.0,50.0,119862849,3,9.0,pdu4****81207第14次借款
2000.0,50.0,119877216,3,9.0,pdu2****78864第5次借款
3850.0,50.0,119886847,3,9.0,手机app用户的第4次闪电借款
2000.0,50.0,119981284,3,9.0,pdu2****48780第6次借款
600.0,50.0,120002944,3,9.0,L****HAOTONG第20次借款
4000.0,50.0,120049871,3,9.0,pdu6****51523第6次借款
3970.0,50.0,120079476,3,9.0,手机app用户的借款
2864.0,50.0,120136660,3,9.0,手机app用户的借款
5000.0,50.0,120212738,3,9.0,手机app用户的借款
2000.0,50.0,120213320,3,9.0,手机app用户的第6次闪电借款
2000.0,50.0,120219736,3,9.0,手机app用户的借款
20000.0,1000.0,120236189,24,12.0,手机app用户的第1次大额借款
5000.0,50.0,120241789,3,9.0,pdu4****74307第4次借款
21000.0,1000.0,120257554,12,11.0,手机app用户的第1次闪电借款
3978.0,50.0,120265655,3,9.0,手机app用户的借款
8000.0,50.0,120275075,3,9.0,pdu3****556第9次借款
12900.0,50.0,120287780,3,9.0,手机app用户的第6次闪电借款
4113.0,50.0,120289386,3,9.0,手机app用户的第6次闪电借款
5000.0,50.0,120304795,3,20.0,手机app用户的借款
