CreditCode,DebtdealId,ListingId,OwingNumber,PriceforSale,PriceforSaleRate
AA,139251467,121521136,8,34.0,11.0
AA,139256049,126788746,4,33.83,10.5
AA,139256040,126775636,4,33.82,10.5
AA,139256039,126773756,4,33.82,10.5
AA,139256231,129591984,5,42.17,10.5
AA,139471863,116958096,4,455.18,10.0
AA,139471862,99000776,3,427.17,9.5
AA,139479783,119307748,5,238.61,10.0
AA,139479782,118171110,5,213.48,10.0
AA,139479781,117031775,4,210.4,10.0
AA,139479779,116828196,4,227.13,10.0
AA,139479778,116745739,7,298.82,10.5
AA,139479777,116686504,7,298.57,10.5
AA,139479775,116458251,4,228.1,11.0
AA,139479774,115790744,4,228.46,11.0
AA,139479773,114406801,4,229.02,11.0
AA,139479898,130232459,5,84.23,10.5
AA,139479897,130227550,5,84.23,10.5
AA,139479896,130223082,5,84.23,10.5
AA,139479895,129913320,5,84.3,10.5
AA,139479894,129791069,5,84.33,10.5
AA,139479893,129771815,5,84.33,10.5
AA,139479892,129768868,5,84.33,10.5
AA,139479891,129721763,5,84.33,10.5
AA,139479890,129679518,5,84.33,10.5
AA,139479889,115057980,4,86.48,11.0
AA,139479888,112954189,3,92.58,11.0
AA,139479887,109502457,3,86.89,10.5
AA,139479886,109470052,2,89.03,10.5
AA,139480035,133698620,6,52.34,9.5
AA,139480034,133698570,6,52.33,9.5
AA,139480033,133677974,6,52.34,9.5
AA,139480286,135995356,6,50.11,9.5
AA,139480285,135923187,6,50.11,9.0
AA,139480284,135995531,6,50.11,9.5
AA,139480821,123202475,9,38.29,11.0
AA,139480820,123061856,9,38.3,11.0
AA,139481376,103765961,1,57.45,10.0
AA,139481374,103702354,1,57.48,10.0
AA,139481373,103700801,1,57.47,10.0
AA,139482058,113006553,4,876.41,11.0
AA,139482649,136824841,6,50.03,9.0
AA,139482648,136824777,6,50.03,9.0
AA,139482647,136527738,6,50.06,9.0
AA,139482646,136527689,6,50.06,9.0
AA,139482645,136527308,6,50.06,9.0
AA,139482644,136527255,6,50.06,9.0
AA,139482643,136527247,6,50.06,9.0
AA,139482642,136527241,6,50.06,9.0
AA,139482637,136526988,6,50.06,9.0
AA,139482743,136808506,6,15.0,9.0
AA,139482742,136808194,5,41.53,9.0
AA,139482741,136527097,5,41.55,9.0
AA,139482740,136526536,6,30.03,9.0
AA,139482739,136525070,12,26.03,10.0
AA,139482738,136821727,6,50.03,9.0
AA,139482737,136821711,6,50.03,9.0
AA,139482734,136820407,6,50.03,9.0
AA,139482733,136818952,6,50.03,9.0
AA,139482731,136816525,6,50.03,9.0
AA,139482727,136811065,6,50.03,9.0
AA,139483216,108234840,2,26.12,10.5
AA,139483214,108213275,2,114.54,10.5
AA,139483212,108200751,2,114.7,10.5
AA,139483822,116213284,1,17.1,11.0
AA,139483821,116201967,4,22.82,11.0
AA,139483820,116199940,4,22.82,11.0
AA,139483858,117958501,2,170.13,10.0
AA,139483857,117949457,2,170.13,10.0
