User,creationDate,listingId,title,借款用途,借款金额,协议利率,单笔最高借款金额,历史最高负债,学习形式,工作信息,年龄,待还金额,性别,成功借款次数,成功还款次数,收入情况,文化程度,期限,正常还清次数,毕业院校,注册时间,第一次成功借款时间,累计借款金额,级别,网络借贷平台借款余额,还款来源,逾期（0-15天）还清次数,逾期（15天以上）还清次数
ko****er,2018-07-06 20:13:12,120304795,手机app用户的借款,日常消费,5000.0,20.0,10000.0,21167.27,无,暂未提供,33,19157.15,女,21,81,8000-15000（含8000）,无,3,79,无,2014-08-15,2014-09-11 16:33:23,77052.0,B,11733.0,薪资收入,2,0
pdu1****30755,2018-07-06 21:23:26,120310821,手机app用户的借款,日常消费,10000.0,20.0,12200.0,24247.84,无,暂未提供,24,14838.89,女,6,27,5000-8000（含5000）,无,3,20,无,2016-05-23,2016-05-30 14:26:29,32774.0,B,0.0,个人存款,7,0
pdu4****63483,2018-07-08 18:35:41,120566180,pdu4****63483第5次借款,旅游,2732.0,20.0,10100.0,10876.32,无,私营业主,28,4019.66,女,5,28,15000及以上,无,3,27,无,2016-09-19,2017-07-28 13:47:59,25619.0,B,43567.0,经营收入,1,0
pdu6****55210,2018-07-08 20:33:13,120576808,pdu6****55210第6次借款,装修,8084.0,20.0,17000.0,23695.17,无,私营业主,36,10011.18,女,6,48,8000-15000（含8000）,无,3,47,无,2015-11-23,2015-11-23 18:53:14,45201.0,B,0.0,经营收入,1,0
pdu2****04041,2018-07-08 21:17:12,120580443,pdu2****04041第4次借款,日常消费,855.0,20.0,14400.0,20071.17,无,暂未提供,28,14258.55,女,4,16,5000-8000（含5000）,无,3,16,无,2017-02-22,2017-10-16 13:16:04,28255.0,B,763.0,薪资收入,0,0
pdu0****81320,2018-07-08 21:29:33,120581421,手机app用户的第5次闪电借款,医疗,3700.0,20.0,5900.0,8745.29,无,私营业主,22,8731.36,女,6,22,8000-15000（含8000）,无,3,21,无,2017-09-01,2017-09-01 13:58:43,23526.0,B,23613.0,经营收入,1,0
pdu2****25416,2018-07-09 11:00:49,120647691,pdu2****25416第10次借款,旅游,2178.0,20.0,12900.0,23468.32,无,私营业主,35,20878.97,男,12,77,5000-8000（含5000）,无,3,77,无,2016-01-11,2016-01-15 11:22:14,46550.0,B,0.0,薪资收入,0,0
pdu1****46676,2018-07-09 11:23:47,120651896,手机app用户的第17次闪电借款,生产经营,3139.0,20.0,7637.0,13457.27,无,私营业主,30,9933.92,男,18,85,8000-15000（含8000）,无,3,75,无,2016-08-11,2017-03-26 12:02:05,52243.0,B,0.0,经营收入,10,0
MY****72,2018-07-09 12:29:05,120663478,M****872第7次借款,旅游,14108.0,20.0,18000.0,19696.0,无,私营业主,41,15726.18,女,7,37,8000-15000（含8000）,无,12,31,无,2014-10-04,2014-10-04 09:34:13,57035.0,B,0.0,经营收入,5,1
pdu0****80482,2018-07-09 13:13:54,120670604,pdu0****80482第8次借款,日常消费,2467.0,20.0,15000.0,17004.29,普通,暂未提供,34,7493.15,女,8,39,15000及以上,专科,3,17,苏州市职工科技大学,2016-08-20,2017-07-19 17:10:51,38139.0,B,9583.0,投资收入,22,0
pdu2****86241,2018-07-09 13:43:39,120675199,手机app用户的第8次闪电借款,装修,3811.0,20.0,3811.0,7749.97,无,暂未提供,31,7599.5,女,10,59,5000-8000（含5000）,无,12,47,无,2017-04-01,2017-04-02 12:18:44,14406.0,B,0.0,薪资收入,12,0
pdu6****53328,2018-07-09 14:20:01,120681011,pdu6****53328第25次借款,装修,2372.0,20.0,8247.0,23563.36,普通,私营业主,32,13527.82,女,29,130,8000-15000（含8000）,专科（高职）,3,116,西安翻译学院,2016-11-03,2016-11-03 20:37:15,100388.0,B,0.0,经营收入,14,0
pdu8****83355,2018-07-09 15:06:13,120688340,手机app用户的借款,日常消费,2500.0,20.0,8000.0,16589.18,无,私营业主,29,12763.94,女,21,72,8000-15000（含8000）,无,3,71,无,2017-04-07,2017-04-07 13:06:01,52641.0,B,0.0,薪资收入,1,0
pdu7****21401,2018-07-09 15:08:19,120688686,手机app用户的借款,生产经营,5000.0,20.0,10000.0,11075.82,无,暂未提供,30,0.0,男,8,33,2000-5000（含2000）,无,3,30,无,2017-08-27,2017-08-28 19:30:12,25147.0,B,0.0,薪资收入,3,0
pdu3****08518,2018-07-09 15:09:43,120688882,手机app用户的第8次闪电借款,日常消费,1904.0,20.0,18000.0,21328.02,无,暂未提供,44,19804.2,男,10,29,8000-15000（含8000）,无,3,29,无,2017-09-26,2017-09-30 14:19:35,50851.0,B,0.0,薪资收入,0,0
pdu8****00841,2018-07-09 15:17:07,120690067,手机app用户的第2次闪电借款,医疗,730.0,20.0,1500.0,2404.56,无,私营业主,19,1612.38,女,3,6,5000-8000（含5000）,无,3,6,无,2018-05-06,2018-05-07 10:12:49,2730.0,B,0.0,薪资收入,0,0
pdu1****53101,2018-07-09 15:51:37,120695447,手机app用户的借款,日常消费,1097.0,20.0,4000.0,6995.42,无,私营业主,32,7050.25,男,9,43,8000-15000（含8000）,无,3,43,无,2017-02-04,2017-11-23 01:07:03,18235.0,B,39036.0,个人存款,0,0
pdu1****40528,2018-07-09 15:55:38,120696088,手机app用户的借款,日常消费,3225.0,20.0,8000.0,12612.73,无,暂未提供,42,9114.16,男,19,76,5000-8000（含5000）,无,3,75,无,2016-10-17,2016-10-17 13:11:14,48492.0,B,12468.0,薪资收入,1,0
