User,creationDate,listingId,strategy,借款用途,借款金额,其他事项,协议利率,单笔最高借款金额,历史最高负债,历史记录,学习形式,工作信息,年龄,征信记录,待还金额,性别,成功借款次数,成功还款次数,收入情况,文化程度,期限,正常还清次数,毕业院校,注册时间,第一次成功借款时间,累计借款金额,级别,网络借贷平台借款余额,资金运用情况,还款来源,逾期类型,逾期（0-15天）还清次数,逾期（15天以上）还清次数,本次借款后负债,title,投标人数,进度
,,124913347,,日常消费,500,暂无,20%,"1,000.00","2,166.35",2次流标， 0次撤标， 0次失败,无,暂未提供,21,暂未提供,"1,642.67",男,3次,8次,暂未提供,无,6个月,8次,无,2018/01/17,2018/05/04,"2,000.00",B,暂未提供,日常消费,个人存款,,0次,0次,,,,
,,124913372,,装修,"13,400",暂无,20%,"13,000.00","17,676.00",0次流标， 1次撤标， 0次失败,普通,暂未提供,26,暂未提供,0.00,男,1次,2次,暂未提供,本科,6个月,2次,郑州航空工业管理学院,2018/01/22,2018/01/29,"13,000.00",B,暂未提供,装修,个人存款,,0次,0次,,,,
,,124913984,,日常消费,"13,157",暂无,20%,"8,361.00","24,482.97",0次流标， 0次撤标， 0次失败,普通,暂未提供,28,暂未提供,"9,448.40",女,14次,86次,暂未提供,专科,6个月,80次,德州科技职业学院,2016/10/24,2016/10/25,"53,325.00",B,"108,380.00",日常消费,薪资收入,,6次,0次,,,,
,,124914438,,日常消费,"1,633",暂无,20%,"3,700.00","7,294.50",0次流标， 0次撤标， 0次失败,无,私营业主,22,暂未提供,"5,402.43",女,19次,93次,暂未提供,无,6个月,89次,无,2017/02/10,2017/02/10,"30,947.00",B,暂未提供,日常消费,薪资收入,,4次,0次,,,,
,,124914485,,日常消费,"1,447",暂无,20%,"6,242.00","16,633.04",0次流标， 0次撤标， 0次失败,网络教育,暂未提供,37,暂未提供,"15,067.04",男,13次,78次,暂未提供,专科,6个月,76次,同济大学,2017/03/11,2017/03/11,"41,120.00",B,暂未提供,日常消费,个人存款,,2次,0次,,,,
,,124914495,,日常消费,"10,394",暂无,20%,"15,000.00","20,003.82",2次流标， 2次撤标， 0次失败,无,暂未提供,45,暂未提供,"15,443.31",男,3次,12次,暂未提供,无,6个月,12次,无,2016/11/17,2017/10/31,"26,700.00",B,暂未提供,日常消费,薪资收入,,0次,0次,,,,
,,124914584,,日常消费,"10,000",暂无,20%,"12,500.00","14,387.19",0次流标， 0次撤标， 0次失败,普通,私营业主,35,暂未提供,"4,037.44",男,10次,39次,暂未提供,专科,3个月,37次,南通纺织职业技术学院,2017/06/27,2017/07/28,"45,500.00",B,暂未提供,日常消费,个人存款,,2次,0次,,,,
,,124914629,,日常消费,642,暂无,20%,"2,000.00","2,719.92",2次流标， 1次撤标， 0次失败,普通,暂未提供,23,暂未提供,"1,772.08",男,1次,4次,暂未提供,本科,6个月,4次,青海大学,2017/11/25,2018/05/04,"2,000.00",B,暂未提供,日常消费,薪资收入,,0次,0次,,,,
,,124914828,,日常消费,"1,816",暂无,20%,"10,000.00","20,351.59",0次流标， 1次撤标， 0次失败,无,暂未提供,27,暂未提供,"19,306.45",女,11次,68次,暂未提供,无,6个月,68次,无,2016/10/31,2016/11/09,"50,990.00",B,暂未提供,日常消费,薪资收入,,0次,0次,,,,
,,124914976,,日常消费,"2,600",暂无,20%,"7,000.00","8,840.40",0次流标， 0次撤标， 0次失败,无,暂未提供,26,暂未提供,"6,220.49",女,3次,14次,暂未提供,无,3个月,12次,无,2017/07/17,2017/07/17,"13,500.00",B,暂未提供,日常消费,薪资收入,,2次,0次,,,,
,,124914967,,旅游,"2,700",暂无,20%,"8,500.00","18,517.12",0次流标， 0次撤标， 0次失败,无,暂未提供,23,暂未提供,"15,215.08",女,10次,62次,暂未提供,无,6个月,62次,无,2016/10/07,2016/10/10,"43,496.00",B,暂未提供,旅游,经营收入,,0次,0次,,,,
,,124915226,,日常消费,"1,817",暂无,20%,"5,507.00","10,495.70",0次流标， 0次撤标， 0次失败,无,暂未提供,21,暂未提供,"8,457.76",女,12次,55次,暂未提供,无,6个月,53次,无,2016/04/14,2017/07/02,"23,761.00",B,暂未提供,日常消费,薪资收入,,2次,0次,,,,
,,124915445,,兼职创业,"2,000",暂无,20%,"4,500.00","7,447.77",1次流标， 0次撤标， 0次失败,无,暂未提供,29,暂未提供,"5,135.04",女,8次,26次,暂未提供,无,6个月,26次,无,2017/01/19,2017/11/21,"15,300.00",B,"4,500.00",兼职创业,投资收入,,0次,0次,,,,
,,124915675,,日常消费,985,暂无,20%,"3,000.00","4,610.90",0次流标， 1次撤标， 0次失败,无,私营业主,21,暂未提供,"3,377.36",男,4次,13次,暂未提供,无,3个月,13次,无,2018/02/08,2018/02/10,"5,850.00",B,暂未提供,日常消费,薪资收入,,0次,0次,,,,
,,124915648,,旅游,"1,681",暂无,20%,"9,718.00","20,572.72",0次流标， 0次撤标， 0次失败,无,暂未提供,41,暂未提供,"18,047.67",女,12次,78次,暂未提供,无,6个月,78次,无,2016/11/14,2016/11/14,"51,959.00",B,420.00,旅游,薪资收入,,0次,0次,,,,
,,124916059,,装修,"14,000",暂无,20%,"8,000.00","9,143.22",0次流标， 0次撤标， 0次失败,网络教育,私营业主,29,暂未提供,0.00,男,1次,6次,暂未提供,专科,6个月,6次,西南交通大学,2017/11/17,2017/11/17,"8,000.00",B,暂未提供,装修,经营收入,,0次,0次,,,,
,,124916107,,日常消费,"3,700",暂无,20%,"3,700.00","4,228.50",1次流标， 0次撤标， 0次失败,无,暂未提供,28,暂未提供,0.00,女,2次,13次,暂未提供,无,6个月,13次,无,2018/03/03,2018/03/03,"5,500.00",B,暂未提供,日常消费,个人存款,,0次,0次,,,,
,,124916191,,医疗,700,暂无,20%,"1,500.00","5,033.82",0次流标， 1次撤标， 0次失败,无,暂未提供,19,暂未提供,"3,743.90",男,13次,49次,暂未提供,无,6个月,47次,无,2017/10/30,2017/11/07,"9,900.00",B,暂未提供,医疗,薪资收入,,2次,0次,,,,
,,124916416,,日常消费,"7,000",暂无,20%,"12,000.00","13,477.56",2次流标， 0次撤标， 0次失败,普通,暂未提供,23,暂未提供,"1,735.93",女,6次,35次,暂未提供,本科,3个月,21次,中央财经大学,2017/05/12,2017/05/13,"30,597.00",B,暂未提供,日常消费,薪资收入,,11次,0次,,,,
,,124916488,,日常消费,"3,000",暂无,20%,"3,000.00","3,490.92",0次流标， 0次撤标， 0次失败,普通,暂未提供,31,暂未提供,0.00,女,2次,7次,暂未提供,专科(高职),3个月,6次,山西工商职业学院,2018/03/15,2018/03/15,"6,000.00",B,暂未提供,日常消费,薪资收入,,1次,0次,,,,
,,124916836,,日常消费,"2,000",暂无,20%,"10,000.00","19,984.07",0次流标， 0次撤标， 0次失败,无,私营业主,23,暂未提供,"17,323.89",女,14次,100次,暂未提供,无,3个月,97次,无,2017/01/16,2017/01/21,"39,207.00",B,暂未提供,日常消费,薪资收入,,3次,0次,,,,
,,124917210,,日常消费,"1,676",暂无,20%,"13,060.00","20,825.01",0次流标， 0次撤标， 0次失败,无,私营业主,27,暂未提供,"18,652.74",女,6次,30次,暂未提供,无,6个月,30次,无,2017/04/24,2017/04/24,"36,451.00",B,暂未提供,日常消费,经营收入,,0次,0次,,,,
,,124917260,,日常消费,"2,000",暂无,20%,"5,000.00","12,650.34",0次流标， 1次撤标， 0次失败,无,暂未提供,27,暂未提供,"10,861.13",男,14次,58次,暂未提供,无,6个月,58次,无,2016/09/05,2016/09/05,"38,100.00",B,暂未提供,日常消费,薪资收入,,0次,0次,,,,
,,124919063,,医疗,"1,000",暂无,20%,"7,000.00","12,117.30",0次流标， 0次撤标， 0次失败,无,暂未提供,22,暂未提供,"10,837.10",女,9次,40次,暂未提供,无,6个月,39次,无,2017/06/09,2017/06/09,"22,350.00",B,"7,585.00",医疗,薪资收入,,1次,0次,,,,
,,124919203,,日常消费,"1,000",暂无,20%,"3,000.00","11,971.73",1次流标， 0次撤标， 0次失败,函授,暂未提供,28,暂未提供,"5,388.50",女,9次,42次,暂未提供,本科,6个月,40次,中国人民公安大学,2018/02/03,2018/02/03,"13,655.00",B,暂未提供,日常消费,个人存款,,2次,0次,,,,
,,124919413,,日常消费,"3,515",暂无,20%,"7,307.00","19,636.93",1次流标， 3次撤标， 0次失败,无,暂未提供,24,暂未提供,"14,434.17",女,12次,90次,暂未提供,无,6个月,90次,无,2016/11/07,2016/12/07,"47,940.00",B,暂未提供,日常消费,薪资收入,,0次,0次,,,,
,,124919868,,日常消费,"3,653",暂无,20%,"10,534.00","14,975.07",0次流标， 0次撤标， 0次失败,成人,私营业主,32,暂未提供,"10,567.77",女,4次,29次,暂未提供,本科,6个月,25次,贵阳学院,2017/03/14,2017/03/16,"24,231.00",B,暂未提供,日常消费,经营收入,,4次,0次,,,,
