creationDate,overDueDays,User,listingId,借款用途,借款金额,其他事项,协议利率,单笔最高借款金额,历史最高负债,历史记录,学习形式,工作信息,年龄,征信记录,待还金额,性别,成功借款次数,成功还款次数,收入情况,文化程度,期限,正常还清次数,毕业院校,注册时间,第一次成功借款时间,累计借款金额,级别,网络借贷平台借款余额,资金运用情况,还款来源,逾期（0-15天）还清次数,逾期（15天以上）还清次数,待收金额,逾期(0-15天)还清次数,逾期(15天以上)还清次数,逾期类型
2018-08-27T16:55:20,90,,96675442,装修,"6,816",暂无,22%,"24,215.00","34,312.96",,普通,私营业主,31,暂未提供,"34,312.96",女,15次,81 次,暂未提供,专科,6 个月,80 次,柳州职业技术学院,2016/8/16,2016/8/16,"74,427.00",,72527.00,装修,薪资收入,,,0.0,1 次,0 次,
2018-08-27T16:55:25,90,,96728060,日常消费,945,暂无,22%,"8,900.00","11,841.22",,普通,暂未提供,25,暂未提供,"11,841.22",男,7次,15 次,2000-5000（含2000）,专科,6 个月,15 次,甘肃建筑职业技术学院,2016/7/30,2017/5/18,"28,771.00",,暂未提供,日常消费,经营收入,,,0.0,0 次,0 次,
2018-08-27T16:55:31,90,,110108777,日常消费,"4,105",暂无,22%,"8,800.00","10,438.32",,普通,工薪族,27,暂未提供,"9,192.91",男,2次,8 次,暂未提供,专科,6 个月,8 次,重庆正大软件职业技术学院,2017/8/27,2017/8/29,"12,905.00",,暂未提供,日常消费,经营收入,,,0.0,0 次,0 次,
2018-08-27T16:55:36,89,,74925147,,"10,500",暂无,18%,"10,500.00","38,940.61",,普通,工薪族,36,暂未提供,"9,962.70",男,18次,128 次,暂未提供,本科,12 个月,105 次,北方工业大学,2016/7/11,2016/7/11,"66,000.00",,2250.00,,,,,0.0,14 次,4 次,
2018-08-27T16:55:41,87,,62351942,,"7,713",暂无,18%,"7,713.00","19,563.18",,成人,工薪族,24,暂未提供,"6,517.74",男,18次,156 次,暂未提供,专科,12 个月,155 次,湖州职业技术学院,2016/5/9,2016/6/16,"42,739.00",,暂未提供,,薪资收入,,,0.0,0 次,0 次,
2018-08-27T16:58:01,90,,61801412,,"4,387",暂无,18%,"6,783.00","18,483.82",,自考,私营业主,29,暂未提供,"2,690.10",男,14次,97 次,暂未提供,本科,12 个月,91 次,吉林艺术学院,2016/5/4,2016/5/4,"36,084.00",,暂未提供,,,,,0.00,5 次,1 次,
2018-08-27T16:58:02,90,,110050735,装修,"2,600",暂无,22%,"7,000.00","11,599.76",,无,私营业主,51,暂未提供,"11,599.76",男,5次,24 次,暂未提供,无,6 个月,23 次,无,2017/3/26,2017/3/26,"22,030.00",,126906.0,装修,薪资收入,,,0.00,0 次,0 次,
2018-08-27T16:58:05,90,,110050735,装修,"2,600",暂无,22%,"7,000.00","11,599.76",,无,私营业主,51,暂未提供,"11,599.76",男,5次,24 次,暂未提供,无,6 个月,23 次,无,2017/3/26,2017/3/26,"22,030.00",,126906.0,装修,薪资收入,,,0.00,0 次,0 次,
2018-08-27T16:58:08,90,,86556376,,"10,000",暂无,18%,"10,000.00","11,241.79",,成人,暂未提供,25,暂未提供,"4,946.42",女,3次,13 次,暂未提供,专科,6 个月,7 次,中央广播电视大学,2017/4/28,2017/4/28,"22,000.00",,暂未提供,,薪资收入,,,0.00,5 次,1 次,
2018-08-27T16:58:09,90,,86556376,,"10,000",暂无,18%,"10,000.00","11,241.79",,成人,暂未提供,25,暂未提供,"4,946.42",女,3次,13 次,暂未提供,专科,6 个月,7 次,中央广播电视大学,2017/4/28,2017/4/28,"22,000.00",,暂未提供,,薪资收入,,,0.00,5 次,1 次,
